,war,타수,득점,안타,2루타,3루타,홈런,타점,도루성공,도루실패,4구,사구,고의4구,삼진,병살타,희생타,희생플라이,타율,출루율,장타율,R/ePA,wRC+,rangeRAA,종합 RAA,WAAwoPOS
7060,-0.03,9.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.111,0.111,0.444,-0.162,-11.9,0.0,0.0,0.0
7062,-0.03,49.0,5.0,7.0,1.0,2.0,0.0,5.0,0.0,0.0,5.0,3.0,0.0,20.0,0.0,1.0,1.0,0.143,0.259,0.245,-0.076,50.4,0.65,-0.48,-0.041
7064,-0.04,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.182,0.182,0.182,-0.194,-34.9,0.0,0.46,0.039
7067,-0.04,358.0,56.0,97.0,13.0,0.0,3.0,38.0,6.0,4.0,23.0,8.0,0.0,39.0,9.0,8.0,4.0,0.271,0.326,0.332,-0.059,61.9,-7.5,-6.09,-0.526
7068,-0.04,41.0,4.0,11.0,0.0,0.0,1.0,9.0,0.0,1.0,5.0,1.0,0.0,9.0,0.0,0.0,0.0,0.268,0.362,0.341,-0.038,76.5,1.04,1.4,0.121
7069,-0.05,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.182,0.25,0.182,-0.155,-6.9,0.0670733788256489,0.0246239268727171,0.0029954785330828
7071,-0.05,25.0,1.0,7.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.28,0.333,0.36,-0.051,67.5,0.36,0.4,0.034
7072,-0.06,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.2,-0.199,-38.4,0.0717850280242602,0.023710213063354,0.0029557185376852
7074,-0.06,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.167,0.286,0.167,-0.117,20.1,-0.29,-0.29,-0.025
7076,-0.06,26.0,6.0,5.0,2.0,0.0,0.0,3.0,0.0,1.0,7.0,0.0,0.0,10.0,1.0,0.0,0.0,0.192,0.364,0.269,-0.026,84.8,-0.83,-0.78,-0.068
7077,-0.07,45.0,3.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,16.0,0.0,2.0,0.0,0.156,0.24,0.2,-0.11,28.1,-0.83,0.67,0.058
7080,-0.1,10.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.2,0.429,0.2,-0.032,80.7,0.0530407095242929,0.0197052686513605,0.0024829597473831
7081,-0.1,21.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.19,0.19,0.19,-0.192,-21.6,1.17,0.23,0.02
7083,-0.12,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.167,0.286,0.167,-0.126,13.6,0.0655379971050447,0.0236781048160044,0.0029381516927105
7084,-0.12,18.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.167,0.211,0.222,-0.158,-9.0,-0.08,-0.4,-0.034
7085,-0.12,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.083,0.083,0.083,-0.279,-67.4,0.09,0.12,0.01
7086,-0.14,80.0,14.0,23.0,3.0,1.0,4.0,16.0,2.0,2.0,15.0,3.0,0.0,25.0,0.0,0.0,1.0,0.288,0.414,0.5,0.028,123.5,-9.13,-10.11,-0.873
7087,-0.14,44.0,7.0,11.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,12.0,2.0,1.0,0.0,0.25,0.313,0.341,-0.063,59.7,-1.35,-1.17,-0.101
7088,-0.14,9.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.222,0.3,0.222,-0.115,28.7,0.0,-1.78,-0.154
